City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,wieruszow,51.2949,18.1555,11.84,91,33,4.12,PL,1687905420
342,saudarkrokur,65.7461,-19.6394,10.39,82,91,1.59,IS,1687905420
343,vorkuta,67.5,64.0,7.85,71,87,2.07,RU,1687905420
344,lesosibirsk,58.2358,92.4828,11.07,69,92,3.8,RU,1687905420
345,carbonear,47.7332,-53.2148,10.34,84,97,4.92,CA,1687905420
346,boa esperanca do sul,-21.9925,-48.3908,17.83,57,0,0.99,BR,1687905421
347,merritt,50.1123,-120.7942,26.51,38,88,1.64,CA,1687905421
348,el abiodh sidi cheikh,32.893,0.5484,28.81,19,0,4.06,DZ,1687905421
349,gradisca d'isonzo,45.8925,13.5017,21.84,65,100,7.72,IT,1687905421
350,koryazhma,61.3143,47.1691,14.99,70,61,1.64,RU,1687905421
351,abdanan,32.9926,47.4198,26.13,17,0,5.38,IR,1687905421
352,padang,-0.9492,100.3543,25.03,88,94,1.65,ID,1687905421
353,qaqortoq,60.7167,-46.0333,7.05,72,97,2.5,GL,1687905422
354,zag,46.9441,99.165,7.82,41,66,0.64,MN,1687905422
355,hasaki,35.7333,140.8333,27.38,93,99,4.89,JP,1687905422
356,shakhtinsk,49.71,72.5872,12.0,86,100,8.25,KZ,1687905422
357,iguape,-24.7081,-47.5553,20.58,72,0,2.8,BR,1687905422
358,ebon,4.582,168.6964,26.04,82,100,5.66,MH,1687905422
359,san juan de miraflores,-12.1629,-76.9635,21.76,74,65,2.9,PE,1687905422
360,taltal,-25.4,-70.4833,17.54,75,25,1.26,CL,1687905159
361,san buenaventura,27.0833,-101.5333,41.7,11,0,10.03,MX,1687905423
